YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
7.0,0,3.0,2.0,1.0,1.0,7.0,1.0,0.0,2.0,3.375,101735.0,11.530126672290002,1,1,1,0,2
2.0,0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,71379.0,11.175758987419538,1,1,1,0,2
3.0,0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,3.625,99195.0,11.504842888776873,1,1,1,1,2
0.5,1,11.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0,3.75,59403.0,10.992100009125904,1,0,1,0,2
5.0,0,6.0,2.0,1.0,3.0,5.0,3.0,1.0,4.0,3.125,58008.0,10.968336211051428,1,1,1,0,2
7.0,0,5.0,2.0,1.0,2.0,9.0,2.0,1.0,2.0,3.625,120000.0,11.695247021764184,1,1,1,2,3
6.0,0,1.0,2.0,0.0,1.0,7.0,1.0,1.0,1.0,3.25,10000.0,9.210340371976184,0,1,1,0,1
6.0,0,8.0,6.0,3.0,4.0,8.0,5.0,5.0,8.0,3.375,223449.0,12.316938479077471,1,0,6,2,2
14.0,0,3.0,3.0,2.0,2.0,14.0,1.0,0.0,1.0,3.0,73104.0,11.199638363803052,1,2,1,1,1
5.0,2,2.0,2.0,2.0,3.0,5.0,1.0,0.0,2.0,2.125,30431.0,10.323217104657996,1,1,1,2,6
14.0,1,7.0,1.0,2.0,2.0,20.0,3.0,2.0,2.0,3.875,55285.0,10.920256902976504,1,2,5,1,2
8.0,0,7.0,1.0,6.0,2.0,8.0,2.0,0.0,0.0,3.25,18289.0,9.814055065204576,1,1,5,1,1
6.0,2,7.0,1.0,1.0,2.0,6.0,2.0,2.0,4.0,2.125,16063.0,9.684273769557766,0,0,1,2,2
26.0,1,4.0,3.0,1.0,3.0,26.0,0.0,0.0,2.0,4.375,46992.0,10.7577326534384,1,3,6,1,2
2.0,0,9.0,1.0,0.0,3.0,2.0,5.0,7.0,7.0,3.0,1021.0,6.928537818164665,1,0,6,1,1
8.0,0,5.0,3.0,1.0,3.0,9.0,3.0,3.0,6.0,3.125,64254.0,11.07059925762893,1,2,0,0,2
1.0,0,9.0,1.0,4.0,9.0,1.0,3.0,3.0,6.0,3.5,5089.0,8.534836626588833,1,0,1,1,1
25.0,0,3.0,3.0,1.0,3.0,26.0,2.0,0.0,1.0,3.0,79246.0,11.280312217279594,1,3,1,0,2
7.0,2,4.0,4.0,2.0,1.0,9.0,1.0,0.0,3.0,2.75,240000.0,12.388394202324127,1,1,1,2,3
38.0,0,3.0,2.0,3.0,3.0,38.0,3.0,2.0,4.0,3.0,74963.0,11.224749937456188,1,4,6,0,2
4.0,0,6.0,3.0,1.0,6.0,4.0,4.0,2.0,5.0,3.25,61041.0,11.019301048524012,1,0,2,0,2
5.0,0,4.0,0.0,1.0,2.0,7.0,4.0,1.0,1.0,3.0,7087.0,8.866017398810255,1,0,6,1,5
18.0,2,2.0,2.0,1.0,1.0,18.0,0.0,0.0,1.0,1.875,138985.0,11.842121292620664,1,2,5,0,1
7.0,0,6.0,3.0,2.0,2.0,13.0,6.0,3.0,3.0,3.5,33000.0,10.404262840448617,1,1,2,2,2
3.0,0,6.0,2.0,2.0,4.0,3.0,7.0,1.0,3.0,3.25,55687.0,10.927502005497212,1,1,2,2,2
25.0,0,6.0,3.0,2.0,7.0,30.0,4.0,4.0,4.0,3.625,150000.0,11.918390573078392,1,3,1,2,3
13.0,1,8.0,0.0,0.0,7.0,15.0,9.0,5.0,0.0,4.0,131620.0,11.78767426201011,1,2,1,2,2
8.0,1,4.0,3.0,4.0,3.0,8.0,2.0,1.0,5.0,4.25,60393.0,11.008628483166936,1,1,2,2,2
